	feature: travel depth: median	feature: travel depth: MAD	feature: travel depth: mean	feature: travel depth: SD	feature: travel depth: skew	feature: travel depth: kurtosis	feature: travel depth: 25%	feature: travel depth: 75%	feature: geodesic depth: median	feature: geodesic depth: MAD	feature: geodesic depth: mean	feature: geodesic depth: SD	feature: geodesic depth: skew	feature: geodesic depth: kurtosis	feature: geodesic depth: 25%	feature: geodesic depth: 75%	feature: mean curvature: median	feature: mean curvature: MAD	feature: mean curvature: mean	feature: mean curvature: SD	feature: mean curvature: skew	feature: mean curvature: kurtosis	feature: mean curvature: 25%	feature: mean curvature: 75%	feature: freesurfer curvature: median	feature: freesurfer curvature: MAD	feature: freesurfer curvature: mean	feature: freesurfer curvature: SD	feature: freesurfer curvature: skew	feature: freesurfer curvature: kurtosis	feature: freesurfer curvature: 25%	feature: freesurfer curvature: 75%	feature: freesurfer thickness: median	feature: freesurfer thickness: MAD	feature: freesurfer thickness: mean	feature: freesurfer thickness: SD	feature: freesurfer thickness: skew	feature: freesurfer thickness: kurtosis	feature: freesurfer thickness: 25%	feature: freesurfer thickness: 75%	feature: freesurfer convexity (sulc): median	feature: freesurfer convexity (sulc): MAD	feature: freesurfer convexity (sulc): mean	feature: freesurfer convexity (sulc): SD	feature: freesurfer convexity (sulc): skew	feature: freesurfer convexity (sulc): kurtosis	feature: freesurfer convexity (sulc): 25%	feature: freesurfer convexity (sulc): 75%	feature: mean position: x	feature: mean position: y	feature: mean position: z	feature: mean position in standard space: x	feature: mean position in standard space: y	feature: mean position in standard space: z	feature: Laplace-Beltrami spectrum: component 2	feature: Laplace-Beltrami spectrum: component 3	feature: Laplace-Beltrami spectrum: component 4	feature: Laplace-Beltrami spectrum: component 5	feature: Laplace-Beltrami spectrum: component 6	feature: Laplace-Beltrami spectrum: component 7	feature: Laplace-Beltrami spectrum: component 8	feature: Laplace-Beltrami spectrum: component 9	feature: Laplace-Beltrami spectrum: component 10	feature: Zernike moments: component 1	feature: Zernike moments: component 2	feature: Zernike moments: component 3	feature: Zernike moments: component 4	feature: Zernike moments: component 5	feature: Zernike moments: component 6	feature: Zernike moments: component 7	feature: Zernike moments: component 8	feature: Zernike moments: component 9	feature: Zernike moments: component 10	feature: Zernike moments: component 11	feature: Zernike moments: component 12	feature: Zernike moments: component 13	feature: Zernike moments: component 14	feature: Zernike moments: component 15	feature: Zernike moments: component 16	feature: Zernike moments: component 17	feature: Zernike moments: component 18	feature: Zernike moments: component 19	feature: Zernike moments: component 20	feature: Zernike moments: component 21	feature: Zernike moments: component 22	feature: Zernike moments: component 23	feature: Zernike moments: component 24	feature: Zernike moments: component 25	feature: Zernike moments: component 26	feature: Zernike moments: component 27	feature: Zernike moments: component 28	feature: Zernike moments: component 29	feature: Zernike moments: component 30	feature: Zernike moments: component 31	feature: Zernike moments: component 32	feature: Zernike moments: component 33	feature: Zernike moments: component 34	feature: Zernike moments: component 35	feature: Zernike moments: component 36
parte: caudalanteriorcingulate	0.979836	0.8873121	2.4900401556	2.899961539	-0.0377307822	-1.3531822841	0.286356	4.56373	2.1692	1.960144	3.1955002872	3.1988823988	-0.0710619816	-1.2093456711	0.286356	5.29035	-2.49665	1.28234	-2.4931758192	2.0185031462	-0.765592339	-0.5578667967	-3.94367	-1.38969	-0.074707225	0.1264410168	-0.041112249	0.2144484697	-0.1517644119	-0.3538204394	-0.1900710762	0.069971323	2.6177892685	0.2922744751	2.6730268005	0.4387896801	0.7282229871	-0.1262046789	2.3612800241	2.9535732269	-0.0981464162	0.1455810294	-0.0101941905	0.2787347806	-0.2254658303	-1.0707614115	-0.2095099092	0.1459753662	-0.8935472685	29.9003447224	39.0573210908	-4.1571518676	23.4984211042	25.5173568013	3.7160393384	11.3055932905	21.3632772422	22.0469166269	35.1371006475	44.3095078228	47.8594696261	70.1223354836	77.4411901388	0.0014375652	0.0023214584	0.0017798608	0.0005520647	0.0003326406	0.0004931789	0.0012761785	0.0030447281	0.003645632	0.0027002504	0.0011760503	0.0008355036	0.0025747922	0.0040056946	0.0040656229	0.0029238076	0.0005083273	0.0018939768	0.0035536912	0.0044070674	0.0003029577	0.0013113761	0.002844984	0.0040870522	0.0001805243	0.0008843934	0.0021597176	0.000108475	0.0005909223	0.0015961422	6.5896499607513E-05	0.0003943091	0.000040444	0.0002634719	2.50307764142981E-05	0.00001559
parte: caudalmiddlefrontal	4.63248	4.438549	6.4133439564	6.8062207919	-0.3719953477	-1.2074678453	0.596124	10.747	5.51989	5.268374	7.240797262	7.3289994881	-0.3697743092	-1.1264170611	1.20761	11.907	-3.80782	2.11515	-3.5811571861	3.2596371737	-0.9402600453	-0.7399329819	-5.77384	-1.53228	-0.1011023894	0.1128090546	-0.098866842	0.1647544814	-1.1508325438	-0.3971210858	-0.2072336227	0.0182971619	3.0201630592	0.271967411	2.9486075224	0.4375092088	0.2266152631	-0.5813952805	2.6833939552	3.2535202503	-0.284424454	0.4004079998	-0.1776416103	0.6753854348	-0.7171756656	-0.9473082358	-0.6285465956	0.2135456204	-28.8370492193	16.1156779591	52.8627645224	-34.819075786	15.934315581	46.3977426859	9.5800065208	10.3579959515	27.8286143316	30.3548095255	38.4972149089	53.7021028125	62.2800024281	69.5311180738	79.6760430616	0.0039340565	0.006004071	0.0038175684	1.77754795970798E-05	0.0019803872	0.0013000422	0.0037114797	0.0085247724	0.0092968001	0.0052982962	0.0005139318	0.0025054461	0.0075310771	0.0110556656	0.0097750306	0.0048988131	0.0015252697	0.0056084103	0.0101625358	0.011571452	0.0008828872	0.0038114004	0.0081315555	0.0110949827	0.0004969567	0.0024484899	0.0059632349	0.0002758456	0.001518744	0.0041282273	0.0001527878	0.0009247085	8.54251678881071E-05	0.0005611178	4.87156636742606E-05	2.85282561185441E-05
parte: cuneus	2.63765	2.51041	4.7563396391	5.3031002697	0.3548722553	-0.9778448675	0.347472	8.01738	3.67682	3.51115	6.0162506715	6.4654602014	0.4465122907	-0.7593512234	0.894399	9.68665	-3.37309	1.69333	-3.3498651544	2.8273962236	-0.9881352724	0.3807012872	-5.02759	-1.63766	-0.1012638286	0.107490845	-0.0833521809	0.1682392724	-0.8366877348	0.3840603212	-0.1994505078	0.0187905822	1.6692867279	0.4560763836	1.8818059849	0.8648257972	1.8718224177	2.7200531871	1.2711567879	2.2470240593	-0.5749679804	0.2324554324	-0.4257716753	0.4899824223	0.0467954036	-0.7798457617	-0.752812326	-0.1708289087	-7.5444700727	-60.5948611646	-9.417527081	-6.6197637829	-82.9987189393	22.0885438376	2.5534999729	9.5904473543	17.0905175966	19.6668144379	23.6940389687	38.2595261197	57.2726210577	67.8355258005	73.0289495599	0.0004295548	0.0003036582	0.0012495965	0.0006308782	0.0003812716	0.000364952	0.0009454859	0.0005110489	0.0015665775	0.001901871	0.0004434383	0.0011512166	0.0014329755	0.0008741959	0.0024031303	0.0014691119	0.0011568296	0.0020838192	0.0005065372	0.0021376493	0.0010617824	0.0024247502	0.0014036232	0.0014371528	0.0009268706	0.0025213957	0.0021945753	0.0007847953	0.0024530974	0.0027376132	0.0006515051	0.0022858808	0.0005336802	0.0020677354	0.000433123	0.0003492164
parte: entorhinal	1.4798	1.251861	2.813049911	3.4074243917	0.6933461946	0.3773477047	0.516363	3.94773	3.3697	2.28934	4.3476038877	4.1617063365	0.2927671319	-0.2012009163	1.30324	6.41359	-4.7229	1.35366	-4.5161814248	2.2222656211	-0.800065851	-0.6182276512	-5.94181	-3.21753	-0.1071109474	0.0775295049	-0.1250544774	0.1585532466	-1.244309099	0.7921057706	-0.2099856436	-0.046481926	3.8033568859	0.7551743984	3.6746075825	0.9229699718	-0.0285262746	-1.2246765424	2.8566441536	4.47843647	-0.5761659741	0.1585754156	-0.5576830302	0.27783471	-0.7370790151	-0.6422219159	-0.7498123646	-0.4304715395	-18.4965099143	28.0945059745	-19.2739306897	-22.5345873599	-6.5883815456	-32.9588520607	2.9216729898	7.6600522661	12.4568916539	19.1704759459	25.2962665878	33.4459432749	44.1917872228	55.4199333928	69.3750973429	0.0011192945	0.0019466486	0.001733601	0.0007610625	0.0002488343	0.0006889927	0.0009087083	0.0023572153	0.0032180155	0.0028344656	0.0014744387	0.0005332515	0.0018135442	0.003241099	0.0038878388	0.0032720904	0.0002842164	0.001188876	0.0026008132	0.0038593747	0.0001446548	0.0007157341	0.0018431989	0.0032296309	7.16736966049817E-05	0.0004084058	0.001206098	0.000034913	0.0002246271	0.0007462883	1.68234262932751E-05	0.0001203512	8.05829517313996E-06	6.32983636048075E-05	3.85421614325299E-06	1.84952724828295E-06
parte: fusiform	3.0953	2.736063	4.43976828	4.6735856287	-0.4830669116	-1.3200949904	0.721688	7.35776	4.81943	3.40541	5.7314633517	5.1215349311	-0.6395958846	-1.1872783923	1.72924	8.96665	-3.8299	1.57104	-3.5881714064	2.9861793717	-0.884910708	-0.4730222677	-5.24491	-2.1264	-0.1315410137	0.1316366792	-0.1230654969	0.1879317393	-1.1124142676	-0.6647694684	-0.257142365	0.0080054309	2.7912054062	0.4358325005	2.8996229172	0.7586931569	1.1800999267	0.7210676333	2.3921892643	3.2880620956	-0.1404539347	0.2662422955	-0.0930196856	0.4875588135	-0.9754303725	-0.5063521358	-0.3626911938	0.1718940958	-30.3607369758	-10.7353368393	-25.8166893885	-33.8576571112	-46.0030984539	-19.9826475843	2.062196614	11.6103886995	15.0093233033	26.4804311939	40.6099995715	46.6625454072	54.785847502	63.4970412664	82.9777188319	0.0051630393	0.0084576245	0.0066492647	0.0021152172	0.0014349231	0.0022841346	0.0039081336	0.009600218	0.0120498459	0.0095227168	0.0044275942	0.0018577956	0.0060150563	0.0100972026	0.0113893801	0.0093107592	0.0009083835	0.0034770163	0.006840268	0.0092200855	0.0006299034	0.0027168849	0.005831238	0.0082334567	0.0004030324	0.0019953651	0.0048931336	0.0002064869	0.0011597893	0.0032389046	0.0001044182	0.0006418664	7.17991614954363E-05	0.0004755434	4.88626665105351E-05	2.72167906579411E-05
parte: inferiorparietal	6.79609	5.5309	7.8489849724	6.9304208181	-0.4211163035	-1.2415143393	1.59779	12.9063	7.79841	6.01137	8.9487817688	7.6781932322	-0.3689613554	-1.1780367828	2.30488	14.4067	-3.25325	2.0032	-3.1940132196	3.2417281187	-0.8306917518	-0.6792320952	-5.44179	-1.43225	-0.0984841213	0.1339512933	-0.1033450686	0.1858931277	-1.2006914261	-0.1049437811	-0.2369058877	0.0310303308	2.4911785126	0.3189436197	2.5014956771	0.4674542705	0.6520210145	-0.1049889305	2.1694734097	2.8091990948	-0.1125611439	0.3883486465	-0.0502573736	0.6005668968	-0.6721885244	-0.9123360262	-0.4847509861	0.301923722	-39.1813058216	-49.6369128604	0.201052075	-42.4030729972	-69.9563549019	26.1474694987	7.5976084954	9.5305475038	26.43519	28.6772113675	34.4283491897	45.8730892425	56.5022609485	64.5528035596	75.2650282533	0.0044266733	0.0061092111	0.0027543504	0.0012878936	0.0020369425	0.000122459	0.0045866787	0.0096653611	0.008771824	0.0029198512	0.0016209966	0.0033891427	0.0094097289	0.0119964098	0.0081042889	0.001886852	0.0022434099	0.0076563704	0.0123145088	0.0115506669	0.0013994457	0.0056296757	0.0108130321	0.0126211257	0.0008399514	0.003868961	0.0085687611	0.0004911867	0.0025343115	0.0063092538	0.0002828704	0.0016061912	0.0001622935	0.0009995601	9.39826976298333E-05	5.56295692343518E-05
parte: inferiortemporal	1.98023	1.9321157	3.7549952009	4.6235050292	0.1396125155	-0.7297424177	0.137225	6.27825	3.00711	2.9303587	4.5830343714	5.2511873507	0.0349851705	-0.7976532168	0.137225	7.41394	-3.91029	2.19388	-3.5943921247	3.2477680452	-0.8121887743	-0.9253175361	-5.94736	-1.5307175	-0.1232398152	0.1322516501	-0.1187222114	0.175278951	-1.1212175213	-0.3848280108	-0.2454613	0.0187006947	3.1074700356	0.5262227058	3.0798562754	0.7156416845	0.5066276532	-0.5240065069	2.5461406708	3.6037368774	-0.2981943637	0.286245401	-0.2243271661	0.4821569323	-0.5667555132	-0.8182171786	-0.5524355769	0.0300483797	-46.6454352362	0.9295375977	-23.5694612588	-52.4942098648	-35.0227512134	-23.69685495	2.8096657589	9.8090197222	16.8155884909	24.8429116596	32.7535092437	36.9210091023	45.0824179037	59.2137847152	67.3378196724	0.0059671003	0.0095862868	0.007044764	0.0014080933	0.0024782468	0.0024453283	0.0048035736	0.0116051613	0.0139387743	0.0097548181	0.0028044795	0.0025064919	0.0079955612	0.0129247368	0.0133386804	0.0088695164	0.0011596197	0.0045410922	0.0090529754	0.0118703591	0.0006193385	0.0027941327	0.0063630709	0.0095636374	0.0003705129	0.0018917061	0.0048289205	0.000203387	0.0011724935	0.0033747882	0.00010272	0.0006601736	5.59612267114646E-05	0.0003923671	3.37494473038671E-05	1.93618471918041E-05
parte: isthmuscingulate	2.78409	2.141728	3.4234740365	3.0960472797	0.097213608	-0.6468655297	0.787476	5.13673	4.71893	2.7255	4.8229619866	3.5368115448	-0.2904272576	-0.824002955	1.75103	7.182325	-2.83302	1.4305	-2.8481348064	1.9363599524	-0.7719960421	-0.6860015155	-4.35076	-1.49702	-0.0762782395	0.1029311996	-0.0751741436	0.1597217186	-0.7206751014	0.2360702494	-0.1822596043	0.0253430307	2.4205682278	0.4735667706	2.4407137105	0.786623709	0.8347751582	-0.0039424862	1.9562366009	2.9033036232	-0.1420485526	0.2438365594	-0.152284842	0.3890897049	-0.1504212292	-0.2675775787	-0.4284186363	0.0612062998	-4.8231881764	-28.135223725	2.5171264301	-5.2626823891	-47.3573668366	17.7767565803	3.3957187878	16.6602157585	19.3750297308	23.8684676771	33.5398768458	47.4200863142	49.2422134978	58.3686451619	77.4896464528	0.0017976479	0.0034696329	0.0039024873	0.0030630724	0.0014620149	0.0001402024	0.0011181833	0.0031876386	0.0051405385	0.0059955359	0.0053402738	0.000483843	0.0018015943	0.0037103681	0.005495527	0.0063690372	0.0001858215	0.0008489229	0.0021102236	0.0037386489	6.81855447334755E-05	0.0003679445	0.0010673167	0.0021892406	2.50524264421571E-05	0.000155802	0.000516298	9.46582910536671E-06	6.6691378125932E-05	0.000248783	3.68709844606715E-06	2.90214831697578E-05	1.46611695090404E-06	1.27336528631529E-05	5.9071544001653E-07	2.40611540911634E-07
parte: lateraloccipital	1.58604	1.5657756	3.0963572506	3.6837249955	0.2442549882	-0.8209112203	0.0644319	5.40888	2.25764	2.2284213	3.6823216233	4.1900064782	0.1993824656	-0.9135426862	0.0644319	6.34198	-3.6722	1.81162	-3.5281674012	2.7050315528	-0.66098726	-0.4487364501	-5.40693	-1.78487	-0.1259020716	0.1184574361	-0.1144278592	0.1685218565	-0.7441315429	-0.7550129456	-0.2361761183	0.0009440798	2.2936751842	0.3974735737	2.2897717694	0.6332767179	0.885203685	1.5363024805	1.8656659126	2.6683411598	-0.4394931197	0.2765205503	-0.3746929328	0.4300901155	-0.3753387636	-0.7461737952	-0.6807707548	-0.1110520065	-30.0441670494	-55.8456835644	-31.0537875206	-31.4047961941	-89.9711044529	-2.4316416352	6.6877644364	14.0449752287	19.1771817284	29.9668553786	37.2672840583	49.5295348837	55.8732079167	68.122875482	77.6274408213	0.0103950683	0.0092541534	0.0008728179	0.0028495785	0.0007149648	0.0009357553	0.0132307119	0.018734598	0.0065182907	0.0018859517	0.0010148123	0.0120398724	0.0223343628	0.0138591718	0.0023362501	0.0017219514	0.0098766786	0.0220956105	0.018428415	0.0068784391	0.0077074856	0.019814845	0.0200135677	0.0104783092	0.0058552001	0.0167431247	0.0193226146	0.0043880574	0.013632743	0.0172802246	0.0032730822	0.0108638227	0.0024445215	0.0085721011	0.0018345403	0.0013854902
parte: lateralorbitofrontal	5.47721	3.90387	6.9111132833	6.381225484	0.4220679417	-0.1506773946	1.93863	9.87106	7.56047	5.0298	9.4323361923	7.7518990062	0.2590912722	-0.6407280278	3.29609	14.3136	-2.95952	1.27573	-2.9956555005	2.4997107167	-0.7610369171	0.0881297881	-4.35605	-1.80214	-0.0956682935	0.1352795027	-0.1058063894	0.1843787833	-1.1448189848	-0.2710724198	-0.2362585366	0.0340332277	2.8884413242	0.3482401371	2.9004339751	0.5814701852	0.3994974249	0.7599835146	2.5399098396	3.2350144386	-0.1542281806	0.2570257336	-0.1167443778	0.4474343668	-0.4165525065	-0.149427934	-0.3971192837	0.1167853251	-17.6911277406	54.4726119967	6.5001695285	-23.2907782551	29.8958532288	-20.1273060386	5.7368572977	11.5286767243	17.7725657218	29.2659284968	34.2124770724	46.8256120348	52.6469946771	68.4860979647	75.332769455	0.0033209972	0.0035020093	0.0004609829	0.0012846948	0.000827647	0.0002754792	0.0040300334	0.0065825989	0.0038875901	0.0005068015	0.0012901688	0.0035444394	0.0074641401	0.0066966337	0.0030980982	0.0009240493	0.0028620784	0.0071345567	0.0081035171	0.0056799191	0.002246278	0.0062892455	0.0083207265	0.0073112119	0.0017559555	0.0053261309	0.0077969962	0.0013846166	0.0044357392	0.0069303271	0.0011083266	0.0036868213	0.0009026332	0.0030859563	0.0007476905	0.0006288882
